Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,SupportCalls,LatePayments,DataUsageGB,Churn
50.0,523.0,26150.0,One year,Fiber,Net Banking,2.0,0.0,4.13,0
19.0,842.0,15998.0,Month-to-month,Fiber,UPI,2.0,2.0,21.9,1
25.0,820.0,20500.0,Month-to-month,Fiber,Debit Card,2.0,1.0,14.65,0
4.0,412.0,1648.0,Two year,Fiber,UPI,3.0,1.0,23.23,0
,,,,,,,,,0
29.0,588.0,17052.0,Month-to-month,Fiber,UPI,2.0,1.0,2.12,1
,,,,,,,,,1
2.0,699.0,1398.0,Two year,Fiber,UPI,4.0,2.0,5.62,1
,,,,,,,,,1
29.0,785.0,22765.0,Month-to-month,Fiber,Net Banking,2.0,0.0,9.97,0
,,,,,,,,,1
28.0,898.0,25144.0,Month-to-month,Fiber,Debit Card,3.0,1.0,28.16,0
3.0,506.0,1518.0,Month-to-month,DSL,Credit Card,1.0,0.0,11.72,1
2.0,911.0,1822.0,One year,DSL,Net Banking,4.0,1.0,15.06,1
,,,,,,,,,0
28.0,440.0,12320.0,Month-to-month,Fiber,Credit Card,2.0,0.0,29.05,0
38.0,773.0,29374.0,Month-to-month,Fiber,Net Banking,6.0,0.0,11.7,1
9.0,999.0,8991.0,Month-to-month,Fiber,Credit Card,1.0,0.0,16.22,0
56.0,697.0,39032.0,Month-to-month,Fiber,UPI,1.0,2.0,7.74,1
7.0,789.0,5523.0,One year,DSL,Credit Card,1.0,1.0,4.85,0
8.0,524.0,4192.0,Month-to-month,Fiber,Credit Card,1.0,0.0,3.25,1
50.0,674.0,33700.0,Month-to-month,DSL,Credit Card,1.0,2.0,22.38,1
38.0,819.0,31122.0,Month-to-month,Fiber,Net Banking,1.0,2.0,6.44,1
36.0,840.0,30240.0,Month-to-month,DSL,UPI,1.0,3.0,22.65,1
4.0,972.0,3888.0,Month-to-month,Fiber,UPI,2.0,0.0,7.11,1
4.0,433.0,1732.0,Month-to-month,DSL,Net Banking,2.0,2.0,9.62,1
8.0,721.0,5768.0,Month-to-month,Fiber,Debit Card,3.0,1.0,19.87,0
11.0,745.0,8195.0,Month-to-month,DSL,UPI,4.0,3.0,29.47,1
14.0,962.0,13468.0,Two year,DSL,Credit Card,0.0,1.0,13.06,0
13.0,786.0,10218.0,Month-to-month,Fiber,Net Banking,1.0,2.0,9.56,1
44.0,760.0,33440.0,Month-to-month,Fiber,UPI,0.0,0.0,16.95,0
3.0,620.0,1860.0,Month-to-month,DSL,Credit Card,2.0,2.0,25.71,1
40.0,428.0,17120.0,One year,DSL,Debit Card,0.0,0.0,17.27,0
9.0,767.0,6903.0,Month-to-month,Fiber,Debit Card,2.0,1.0,2.35,1
56.0,925.0,51800.0,Month-to-month,DSL,UPI,4.0,1.0,5.35,1
2.0,487.0,974.0,Month-to-month,Fiber,Debit Card,3.0,1.0,28.2,1
25.0,486.0,12150.0,Month-to-month,Fiber,Credit Card,1.0,1.0,11.22,0
39.0,742.0,28938.0,Two year,DSL,Net Banking,2.0,1.0,10.61,0
4.0,736.0,2944.0,Month-to-month,Fiber,UPI,5.0,1.0,3.34,1
10.0,971.0,9710.0,Month-to-month,Fiber,UPI,5.0,0.0,27.03,1
56.0,830.0,46480.0,Two year,DSL,Credit Card,0.0,1.0,16.69,0
40.0,587.0,23480.0,Month-to-month,Fiber,Net Banking,4.0,0.0,4.13,1
43.0,644.0,27692.0,Two year,Fiber,Net Banking,5.0,1.0,14.14,0
7.0,770.0,5390.0,Two year,Fiber,UPI,2.0,1.0,15.26,0
23.0,415.0,9545.0,Month-to-month,DSL,Credit Card,4.0,2.0,12.05,1
49.0,663.0,32487.0,Two year,Fiber,UPI,4.0,3.0,9.57,0
59.0,858.0,50622.0,Month-to-month,Fiber,Credit Card,0.0,3.0,29.27,1
5.0,629.0,3145.0,One year,Fiber,UPI,1.0,3.0,19.58,1
59.0,489.0,28851.0,Month-to-month,Fiber,Net Banking,1.0,2.0,2.36,1
40.0,436.0,17440.0,Month-to-month,DSL,Debit Card,0.0,2.0,22.54,1
24.0,446.0,10704.0,Month-to-month,DSL,Credit Card,3.0,0.0,8.71,0
,,,,,,,,,1
16.0,442.0,7072.0,One year,DSL,UPI,1.0,3.0,12.58,0
13.0,529.0,6877.0,One year,Fiber,Credit Card,1.0,3.0,11.04,0
48.0,990.0,47520.0,Month-to-month,Fiber,Credit Card,1.0,2.0,3.98,1
,,,,,,,,,0
27.0,528.0,14256.0,Month-to-month,Fiber,Debit Card,1.0,0.0,3.24,1
15.0,449.0,6735.0,One year,DSL,UPI,2.0,0.0,25.83,0
8.0,791.0,6328.0,Month-to-month,DSL,Debit Card,4.0,0.0,18.28,1
44.0,968.0,42592.0,Month-to-month,Fiber,Net Banking,0.0,0.0,13.37,0
10.0,837.0,8370.0,Month-to-month,Fiber,Credit Card,1.0,2.0,18.46,1
57.0,405.0,23085.0,Month-to-month,Fiber,Net Banking,4.0,4.0,27.08,1
10.0,959.0,9590.0,Two year,Fiber,UPI,4.0,2.0,1.07,1
,,,,,,,,,0
48.0,914.0,43872.0,Month-to-month,DSL,Credit Card,2.0,0.0,23.44,0
50.0,447.0,22350.0,Month-to-month,Fiber,UPI,0.0,1.0,7.93,0
25.0,656.0,16400.0,One year,Fiber,Debit Card,1.0,0.0,10.84,0
,,,,,,,,,0
3.0,833.0,2499.0,Two year,Fiber,UPI,2.0,1.0,2.39,1
44.0,734.0,32296.0,One year,Fiber,Debit Card,5.0,2.0,4.35,1
51.0,898.0,45798.0,Month-to-month,Fiber,Debit Card,4.0,0.0,20.71,1
,,,,,,,,,0
22.0,514.0,11308.0,Two year,Fiber,UPI,5.0,5.0,26.49,0
14.0,591.0,8274.0,One year,DSL,Credit Card,0.0,1.0,19.42,0
15.0,413.0,6195.0,Two year,Fiber,Net Banking,0.0,0.0,2.48,0
26.0,437.0,11362.0,Month-to-month,Fiber,Credit Card,5.0,3.0,2.87,1
,,,,,,,,,0
58.0,894.0,51852.0,Month-to-month,Fiber,Credit Card,3.0,1.0,3.37,1
53.0,598.0,31694.0,One year,Fiber,Debit Card,4.0,1.0,7.84,0
46.0,614.0,28244.0,One year,DSL,UPI,0.0,0.0,8.35,0
5.0,559.0,2795.0,Month-to-month,Fiber,Credit Card,1.0,1.0,1.67,1
,,,,,,,,,1
,,,,,,,,,0
,,,,,,,,,0
39.0,635.0,24765.0,Month-to-month,DSL,Net Banking,4.0,1.0,25.67,1
19.0,926.0,17594.0,Month-to-month,Fiber,Credit Card,1.0,0.0,20.22,0
31.0,933.0,28923.0,One year,Fiber,Debit Card,4.0,0.0,17.79,0
4.0,724.0,2896.0,Month-to-month,Fiber,UPI,1.0,1.0,20.12,1
14.0,613.0,8582.0,Month-to-month,Fiber,Debit Card,5.0,2.0,23.71,1
3.0,717.0,2151.0,One year,DSL,Credit Card,2.0,0.0,20.75,0
1.0,558.0,558.0,Month-to-month,DSL,Net Banking,3.0,0.0,4.76,1
16.0,865.0,13840.0,Two year,Fiber,Credit Card,1.0,3.0,12.78,0
5.0,591.0,2955.0,One year,Fiber,Net Banking,4.0,2.0,24.2,1
4.0,550.0,2200.0,Month-to-month,DSL,Net Banking,2.0,2.0,26.5,1
,,,,,,,,,1
32.0,995.0,31840.0,Two year,Fiber,Credit Card,1.0,2.0,7.4,0
34.0,950.0,32300.0,Month-to-month,Fiber,Debit Card,3.0,4.0,14.04,1
16.0,725.0,11600.0,Month-to-month,Fiber,Credit Card,2.0,0.0,11.1,0
38.0,624.0,23712.0,Two year,Fiber,UPI,2.0,0.0,29.56,0
6.0,957.0,5742.0,Month-to-month,Fiber,Credit Card,5.0,1.0,22.35,1
50.0,444.0,22200.0,Month-to-month,Fiber,Debit Card,1.0,1.0,1.1,1
1.0,702.0,702.0,Month-to-month,DSL,Credit Card,4.0,2.0,1.12,1
15.0,539.0,8085.0,Month-to-month,Fiber,Net Banking,4.0,0.0,11.45,1
58.0,671.0,38918.0,One year,Fiber,Debit Card,1.0,2.0,1.31,0
50.0,763.0,38150.0,Month-to-month,DSL,Credit Card,4.0,0.0,10.31,1
23.0,702.0,16146.0,Two year,DSL,Net Banking,2.0,1.0,12.82,0
5.0,711.0,3555.0,Two year,Fiber,Credit Card,3.0,3.0,29.25,1
42.0,639.0,26838.0,Month-to-month,DSL,UPI,1.0,0.0,2.24,1
20.0,870.0,17400.0,Month-to-month,Fiber,Credit Card,1.0,0.0,23.3,0
55.0,936.0,51480.0,Two year,Fiber,Net Banking,6.0,2.0,21.19,0
58.0,436.0,25288.0,One year,Fiber,UPI,1.0,1.0,9.67,0
34.0,845.0,28730.0,Month-to-month,DSL,Debit Card,4.0,1.0,20.81,1
47.0,609.0,28623.0,One year,Fiber,Net Banking,1.0,0.0,11.14,0
2.0,455.0,910.0,Month-to-month,Fiber,Net Banking,2.0,0.0,16.84,1
36.0,735.0,26460.0,One year,DSL,Credit Card,3.0,0.0,21.98,0
1.0,962.0,962.0,Two year,Fiber,Credit Card,5.0,4.0,2.95,1
25.0,440.0,11000.0,One year,Fiber,Net Banking,2.0,1.0,4.33,0
54.0,695.0,37530.0,One year,DSL,Credit Card,3.0,2.0,12.92,0
45.0,431.0,19395.0,Month-to-month,DSL,Debit Card,2.0,2.0,7.91,1
2.0,660.0,1320.0,Two year,DSL,Debit Card,3.0,1.0,16.92,0
17.0,660.0,11220.0,Two year,DSL,UPI,0.0,0.0,21.78,0
56.0,594.0,33264.0,One year,DSL,UPI,0.0,1.0,21.81,0
56.0,768.0,43008.0,Month-to-month,Fiber,UPI,2.0,2.0,3.06,1
3.0,683.0,2049.0,Month-to-month,Fiber,Debit Card,1.0,0.0,29.43,1
32.0,450.0,14400.0,Month-to-month,Fiber,Credit Card,1.0,2.0,10.06,1
36.0,553.0,19908.0,Month-to-month,Fiber,UPI,1.0,1.0,17.24,0
37.0,569.0,21053.0,Two year,Fiber,Debit Card,1.0,3.0,4.42,0
20.0,603.0,12060.0,Month-to-month,DSL,Net Banking,4.0,0.0,19.22,1
57.0,897.0,51129.0,Month-to-month,DSL,Net Banking,0.0,1.0,24.71,0
26.0,455.0,11830.0,Two year,Fiber,UPI,1.0,2.0,16.76,0
8.0,890.0,7120.0,Month-to-month,Fiber,Net Banking,2.0,0.0,6.89,0
58.0,839.0,48662.0,Two year,DSL,UPI,2.0,2.0,10.82,0
4.0,716.0,2864.0,Month-to-month,DSL,Credit Card,5.0,1.0,15.0,1
17.0,849.0,14433.0,One year,DSL,Credit Card,3.0,0.0,29.2,0
31.0,959.0,29729.0,Month-to-month,DSL,Credit Card,2.0,3.0,1.6,1
36.0,972.0,34992.0,Month-to-month,Fiber,Net Banking,2.0,1.0,2.74,1
6.0,420.0,2520.0,Month-to-month,DSL,UPI,3.0,2.0,19.8,1
35.0,526.0,18410.0,Month-to-month,Fiber,Debit Card,1.0,1.0,8.97,0
2.0,412.0,824.0,Month-to-month,DSL,Credit Card,1.0,0.0,8.28,1
30.0,476.0,14280.0,Month-to-month,Fiber,UPI,4.0,2.0,27.45,1
38.0,461.0,17518.0,Month-to-month,DSL,UPI,3.0,3.0,8.68,1
53.0,634.0,33602.0,Month-to-month,Fiber,Debit Card,2.0,1.0,15.79,0
49.0,457.0,22393.0,One year,Fiber,UPI,2.0,2.0,29.63,0
14.0,540.0,7560.0,Month-to-month,Fiber,Net Banking,1.0,0.0,11.15,0
7.0,910.0,6370.0,Month-to-month,Fiber,Net Banking,5.0,2.0,19.47,1
15.0,496.0,7440.0,Month-to-month,Fiber,Credit Card,1.0,2.0,2.7,1
6.0,896.0,5376.0,Two year,DSL,Credit Card,1.0,0.0,9.82,0
51.0,712.0,36312.0,One year,DSL,Net Banking,2.0,0.0,10.47,0
39.0,754.0,29406.0,Two year,DSL,Net Banking,6.0,2.0,18.17,0
51.0,847.0,43197.0,Month-to-month,Fiber,Debit Card,4.0,1.0,10.57,1
14.0,716.0,10024.0,Month-to-month,Fiber,Debit Card,0.0,2.0,2.0,1
42.0,584.0,24528.0,Month-to-month,Fiber,UPI,1.0,4.0,14.19,1
35.0,822.0,28770.0,Month-to-month,Fiber,Credit Card,0.0,1.0,6.96,0
29.0,527.0,15283.0,Month-to-month,Fiber,Credit Card,1.0,3.0,1.9,1
31.0,634.0,19654.0,One year,Fiber,Debit Card,1.0,1.0,19.48,0
48.0,534.0,25632.0,One year,DSL,Net Banking,2.0,1.0,19.7,0
5.0,485.0,2425.0,Month-to-month,Fiber,Credit Card,0.0,1.0,4.36,1
24.0,466.0,11184.0,Two year,Fiber,Credit Card,0.0,0.0,4.37,0
36.0,599.0,21564.0,Month-to-month,Fiber,Net Banking,4.0,1.0,1.62,1
18.0,667.0,12006.0,One year,Fiber,UPI,2.0,0.0,11.13,0
17.0,998.0,16966.0,Month-to-month,Fiber,UPI,3.0,0.0,7.41,0
44.0,425.0,18700.0,Month-to-month,Fiber,Debit Card,2.0,3.0,9.18,1
30.0,779.0,23370.0,Month-to-month,Fiber,Credit Card,1.0,0.0,20.59,0
20.0,833.0,16660.0,Month-to-month,Fiber,Credit Card,3.0,0.0,2.76,1
4.0,999.0,3996.0,Month-to-month,DSL,Net Banking,2.0,3.0,13.14,1
48.0,837.0,40176.0,One year,Fiber,UPI,2.0,1.0,29.04,0
44.0,749.0,32956.0,Month-to-month,DSL,Credit Card,2.0,2.0,9.23,1
45.0,735.0,33075.0,Month-to-month,DSL,Net Banking,1.0,2.0,27.7,1
40.0,638.0,25520.0,Month-to-month,DSL,Net Banking,2.0,0.0,2.46,1
58.0,481.0,27898.0,One year,Fiber,Credit Card,2.0,2.0,4.63,0
22.0,540.0,11880.0,Month-to-month,Fiber,Debit Card,1.0,0.0,1.98,1
10.0,477.0,4770.0,Month-to-month,Fiber,Credit Card,4.0,1.0,25.66,1
22.0,864.0,19008.0,Month-to-month,DSL,Net Banking,1.0,1.0,1.96,1
4.0,429.0,1716.0,Two year,Fiber,Debit Card,3.0,1.0,1.76,1
59.0,898.0,52982.0,Month-to-month,DSL,Net Banking,2.0,2.0,16.17,1
13.0,464.0,6032.0,Month-to-month,Fiber,UPI,0.0,1.0,14.32,0
44.0,994.0,43736.0,One year,DSL,UPI,4.0,0.0,11.63,0
13.0,939.0,12207.0,Month-to-month,Fiber,UPI,1.0,2.0,15.2,1
10.0,422.0,4220.0,Month-to-month,DSL,UPI,1.0,2.0,12.08,1
11.0,921.0,10131.0,One year,DSL,Debit Card,3.0,2.0,15.09,0
19.0,981.0,18639.0,Month-to-month,DSL,Net Banking,0.0,2.0,14.95,1
48.0,909.0,43632.0,Month-to-month,Fiber,UPI,1.0,0.0,15.3,0
23.0,709.0,16307.0,Month-to-month,Fiber,Credit Card,5.0,1.0,20.09,1
48.0,927.0,44496.0,Two year,Fiber,Credit Card,1.0,0.0,13.25,0
36.0,583.0,20988.0,Month-to-month,DSL,Credit Card,4.0,0.0,23.87,1
5.0,434.0,2170.0,Two year,Fiber,Credit Card,1.0,2.0,28.82,1
24.0,407.0,9768.0,One year,DSL,UPI,1.0,0.0,13.5,0
43.0,794.0,34142.0,Month-to-month,Fiber,UPI,3.0,1.0,10.95,0
58.0,418.0,24244.0,One year,Fiber,UPI,2.0,1.0,1.24,0
44.0,929.0,40876.0,One year,Fiber,Credit Card,2.0,3.0,3.19,0
7.0,990.0,6930.0,Month-to-month,Fiber,Net Banking,1.0,0.0,22.96,0
39.0,895.0,34905.0,One year,DSL,Net Banking,7.0,1.0,5.99,0
30.0,540.0,16200.0,One year,DSL,Net Banking,2.0,1.0,16.71,0
10.0,983.0,9830.0,Two year,DSL,Net Banking,1.0,1.0,28.09,0
49.0,595.0,29155.0,Month-to-month,DSL,UPI,0.0,2.0,19.49,1
26.0,983.0,25558.0,One year,DSL,Debit Card,2.0,0.0,22.42,0
33.0,549.0,18117.0,Month-to-month,DSL,UPI,1.0,0.0,16.85,0
57.0,770.0,43890.0,Month-to-month,DSL,Debit Card,3.0,0.0,26.99,0
12.0,430.0,5160.0,Month-to-month,Fiber,Credit Card,1.0,2.0,20.67,1
8.0,446.0,3568.0,Two year,DSL,UPI,3.0,1.0,8.5,0
53.0,981.0,51993.0,Month-to-month,DSL,Credit Card,1.0,2.0,6.75,1
37.0,580.0,21460.0,Two year,Fiber,Credit Card,5.0,2.0,17.51,0
43.0,908.0,39044.0,Two year,Fiber,Credit Card,2.0,3.0,15.58,0
44.0,972.0,42768.0,Month-to-month,Fiber,UPI,2.0,2.0,25.35,1
53.0,509.0,26977.0,One year,DSL,Net Banking,1.0,2.0,19.17,0
35.0,445.0,15575.0,Month-to-month,DSL,UPI,6.0,4.0,6.56,1
19.0,981.0,18639.0,Month-to-month,DSL,UPI,3.0,3.0,10.66,1
23.0,402.0,9246.0,One year,Fiber,Credit Card,2.0,1.0,5.15,0
23.0,762.0,17526.0,Month-to-month,DSL,Credit Card,2.0,0.0,29.58,0
5.0,900.0,4500.0,Month-to-month,DSL,Credit Card,1.0,1.0,18.99,1
8.0,890.0,7120.0,Two year,DSL,UPI,3.0,1.0,12.87,0
20.0,931.0,18620.0,Month-to-month,Fiber,Debit Card,1.0,1.0,1.68,1
59.0,703.0,41477.0,Month-to-month,DSL,Credit Card,4.0,0.0,29.57,1
15.0,753.0,11295.0,Month-to-month,Fiber,Net Banking,1.0,1.0,28.19,0
38.0,994.0,37772.0,One year,DSL,UPI,2.0,2.0,9.57,0
13.0,917.0,11921.0,Two year,DSL,Debit Card,3.0,0.0,22.63,0
25.0,998.0,24950.0,Month-to-month,DSL,Credit Card,3.0,2.0,8.46,1
57.0,858.0,48906.0,Month-to-month,Fiber,Debit Card,0.0,3.0,5.97,1
53.0,522.0,27666.0,Month-to-month,Fiber,UPI,1.0,2.0,2.27,1
43.0,989.0,42527.0,Month-to-month,DSL,Debit Card,2.0,2.0,1.5,1
11.0,819.0,9009.0,Month-to-month,Fiber,UPI,6.0,3.0,3.65,1
20.0,645.0,12900.0,One year,Fiber,Credit Card,2.0,0.0,26.81,0
38.0,487.0,18506.0,Month-to-month,DSL,Debit Card,4.0,2.0,29.96,1
52.0,572.0,29744.0,Month-to-month,Fiber,Credit Card,4.0,0.0,4.03,1
12.0,404.0,4848.0,Month-to-month,DSL,Debit Card,1.0,2.0,28.9,1
45.0,814.0,36630.0,One year,Fiber,UPI,3.0,1.0,23.15,0
,,,,,,,,,1
22.0,964.0,21208.0,Two year,DSL,Debit Card,0.0,1.0,16.04,0
15.0,562.0,8430.0,Month-to-month,Fiber,Debit Card,1.0,1.0,11.02,0
15.0,665.0,9975.0,Month-to-month,Fiber,Net Banking,4.0,3.0,9.16,1
35.0,986.0,34510.0,Month-to-month,Fiber,UPI,3.0,0.0,9.95,0
17.0,612.0,10404.0,Month-to-month,Fiber,Net Banking,0.0,1.0,4.21,1
16.0,466.0,7456.0,Two year,Fiber,Credit Card,3.0,3.0,28.08,0
50.0,497.0,24850.0,Month-to-month,DSL,Debit Card,1.0,2.0,9.57,1
,,,,,,,,,1
9.0,576.0,5184.0,Month-to-month,Fiber,Net Banking,4.0,1.0,12.5,1
11.0,429.0,4719.0,Two year,Fiber,UPI,1.0,1.0,3.2,0
12.0,485.0,5820.0,Two year,Fiber,UPI,1.0,2.0,10.23,0
,,,,,,,,,1
35.0,719.0,25165.0,Month-to-month,DSL,UPI,3.0,2.0,7.61,1
47.0,886.0,41642.0,Month-to-month,Fiber,Credit Card,3.0,1.0,18.38,0
17.0,995.0,16915.0,Two year,Fiber,Credit Card,5.0,1.0,22.42,0
31.0,746.0,23126.0,Month-to-month,DSL,Net Banking,3.0,2.0,24.31,1
13.0,916.0,11908.0,Month-to-month,Fiber,Net Banking,4.0,1.0,4.03,1
21.0,771.0,16191.0,Month-to-month,Fiber,Net Banking,6.0,2.0,22.47,1
3.0,558.0,1674.0,Month-to-month,DSL,Net Banking,2.0,4.0,7.03,1
7.0,687.0,4809.0,One year,DSL,Net Banking,2.0,1.0,12.0,0
50.0,913.0,45650.0,Two year,DSL,Debit Card,3.0,0.0,12.05,0
12.0,635.0,7620.0,Month-to-month,Fiber,Debit Card,1.0,0.0,7.59,0
42.0,777.0,32634.0,Month-to-month,DSL,Net Banking,3.0,2.0,23.26,1
57.0,489.0,27873.0,Month-to-month,Fiber,Credit Card,2.0,1.0,6.64,0
32.0,673.0,21536.0,One year,DSL,Credit Card,1.0,1.0,11.34,0
20.0,612.0,12240.0,Month-to-month,DSL,Net Banking,0.0,3.0,17.22,1
42.0,839.0,35238.0,Month-to-month,DSL,UPI,3.0,1.0,11.53,0
52.0,486.0,25272.0,One year,Fiber,UPI,1.0,1.0,25.44,0
8.0,636.0,5088.0,One year,DSL,Credit Card,1.0,0.0,5.29,0
32.0,551.0,17632.0,Month-to-month,DSL,Net Banking,3.0,2.0,5.11,1
32.0,862.0,27584.0,One year,DSL,Net Banking,1.0,0.0,16.93,0
55.0,603.0,33165.0,Two year,Fiber,Debit Card,2.0,1.0,25.46,0
56.0,930.0,52080.0,Month-to-month,Fiber,Credit Card,2.0,0.0,20.65,0
12.0,832.0,9984.0,One year,Fiber,UPI,1.0,0.0,1.11,0
37.0,728.0,26936.0,Month-to-month,Fiber,Credit Card,4.0,0.0,17.88,1
6.0,619.0,3714.0,Month-to-month,Fiber,Debit Card,1.0,2.0,9.73,1
21.0,484.0,10164.0,Month-to-month,Fiber,Net Banking,3.0,0.0,4.7,1
17.0,724.0,12308.0,Month-to-month,Fiber,Net Banking,6.0,1.0,9.67,1
,,,,,,,,,0
32.0,672.0,21504.0,Month-to-month,Fiber,Debit Card,2.0,0.0,5.06,0
33.0,761.0,25113.0,One year,DSL,UPI,4.0,1.0,15.02,0
43.0,538.0,23134.0,Month-to-month,Fiber,Credit Card,2.0,3.0,2.56,1
13.0,764.0,9932.0,Month-to-month,DSL,Debit Card,3.0,1.0,23.75,0
29.0,501.0,14529.0,One year,Fiber,Debit Card,3.0,1.0,12.73,0
29.0,794.0,23026.0,Two year,DSL,UPI,1.0,0.0,7.13,0
29.0,472.0,13688.0,One year,DSL,Credit Card,1.0,0.0,6.63,0
8.0,615.0,4920.0,Month-to-month,Fiber,Credit Card,2.0,2.0,9.79,1
53.0,817.0,43301.0,One year,Fiber,Net Banking,3.0,0.0,1.46,0
33.0,781.0,25773.0,Two year,DSL,UPI,0.0,0.0,11.39,0
39.0,950.0,37050.0,Month-to-month,Fiber,Net Banking,2.0,2.0,22.62,1
6.0,851.0,5106.0,Month-to-month,Fiber,Net Banking,1.0,0.0,9.28,0
,,,,,,,,,1
,,,,,,,,,1
12.0,566.0,6792.0,One year,Fiber,Debit Card,1.0,1.0,8.69,0
56.0,533.0,29848.0,Two year,DSL,Debit Card,2.0,0.0,9.28,0
8.0,712.0,5696.0,One year,Fiber,Debit Card,0.0,0.0,29.66,0
56.0,484.0,27104.0,Month-to-month,DSL,Net Banking,1.0,2.0,22.13,1
53.0,840.0,44520.0,Month-to-month,DSL,Debit Card,2.0,0.0,15.36,0
26.0,544.0,14144.0,One year,Fiber,Net Banking,2.0,2.0,22.07,0
,,,,,,,,,0
8.0,898.0,7184.0,Month-to-month,Fiber,UPI,2.0,0.0,6.72,0
4.0,601.0,2404.0,Two year,Fiber,Debit Card,1.0,0.0,11.21,0
51.0,612.0,31212.0,Month-to-month,Fiber,Debit Card,2.0,2.0,19.19,1
41.0,662.0,27142.0,Two year,Fiber,Debit Card,0.0,0.0,17.67,0
52.0,744.0,38688.0,Month-to-month,Fiber,Debit Card,4.0,0.0,1.64,1
55.0,755.0,41525.0,Month-to-month,Fiber,Credit Card,0.0,0.0,8.93,0
10.0,512.0,5120.0,Month-to-month,Fiber,Net Banking,3.0,0.0,22.42,0
24.0,677.0,16248.0,Month-to-month,DSL,UPI,1.0,1.0,21.2,0
47.0,491.0,23077.0,Two year,DSL,Net Banking,2.0,0.0,8.01,0
,,,,,,,,,1
35.0,546.0,19110.0,Month-to-month,Fiber,Net Banking,2.0,1.0,28.52,0
22.0,813.0,17886.0,Month-to-month,Fiber,Debit Card,3.0,0.0,28.66,0
38.0,925.0,35150.0,Month-to-month,Fiber,Net Banking,1.0,1.0,25.88,0
35.0,992.0,34720.0,Month-to-month,DSL,Credit Card,3.0,1.0,11.4,0
7.0,442.0,3094.0,Month-to-month,DSL,Net Banking,3.0,3.0,12.24,1
11.0,687.0,7557.0,Two year,Fiber,Debit Card,3.0,1.0,3.68,0
26.0,409.0,10634.0,Month-to-month,Fiber,UPI,2.0,1.0,11.51,0
29.0,665.0,19285.0,Month-to-month,DSL,Net Banking,6.0,1.0,2.18,1
48.0,528.0,25344.0,Month-to-month,Fiber,Credit Card,1.0,0.0,1.88,1
49.0,632.0,30968.0,Month-to-month,Fiber,Net Banking,3.0,2.0,12.0,1
27.0,873.0,23571.0,Month-to-month,DSL,Net Banking,2.0,3.0,4.52,1
,,,,,,,,,1
28.0,690.0,19320.0,Two year,DSL,Net Banking,1.0,1.0,15.88,0
29.0,802.0,23258.0,Month-to-month,DSL,Debit Card,3.0,3.0,7.99,1
49.0,467.0,22883.0,Month-to-month,DSL,UPI,4.0,4.0,16.79,1
7.0,496.0,3472.0,One year,DSL,UPI,0.0,1.0,2.21,0
50.0,642.0,32100.0,One year,Fiber,UPI,1.0,2.0,17.61,0
50.0,599.0,29950.0,Month-to-month,DSL,Debit Card,1.0,2.0,18.34,1
44.0,923.0,40612.0,One year,Fiber,Credit Card,2.0,0.0,4.32,0
30.0,921.0,27630.0,One year,Fiber,Debit Card,5.0,0.0,2.03,0
3.0,435.0,1305.0,One year,Fiber,Debit Card,6.0,0.0,2.35,1
